id,reaction_id,flux,age_group,diet,abs_flux,reaction_name,pathway,text,is_lysine_related,is_biosyn_hint,is_butyrate_hint,pathway_class
Bacteroides_dorei_DSM_17855_AGORA1_03,PBUTT,-0.0,21_40,high_fiber,0.0,Phosphate butyryltransferase (EC 2.3.1.19),Butanoate metabolism,pbutt | phosphate butyryltransferase (ec 2.3.1.19) | butanoate metabolism,True,False,True,lysine_to_butyrate_candidate
Bacteroides_dorei_DSM_17855_AGORA1_03,3ABUTCOAL,,21_40,high_fiber,,,,3abutcoal,True,False,True,lysine_to_butyrate_candidate
Bacteroides_dorei_DSM_17855_AGORA1_03,ACCOALYS2,,21_40,high_fiber,,,,accoalys2,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,BTCOAACCOAT,,21_40,high_fiber,,,,btcoaaccoat,True,False,True,lysine_to_butyrate_candidate
Bacteroides_dorei_DSM_17855_AGORA1_03,BTCOADH,,21_40,high_fiber,,,,btcoadh,True,False,True,lysine_to_butyrate_candidate
Bacteroides_dorei_DSM_17855_AGORA1_03,DAPAT,,21_40,high_fiber,,,,dapat,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,DAPDA,,21_40,high_fiber,,,,dapda,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,SDPDS,,21_40,high_fiber,,,,sdpds,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,SDPTA,,21_40,high_fiber,,,,sdpta,True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,26DAPLLAT,-0.0012341713451671,21_40,high_fiber,0.0012341713451671,"L,L-diaminopimelate aminotransferase",Lysine metabolism,"26dapllat | l,l-diaminopimelate aminotransferase | lysine metabolism",True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,DAPE,0.0012341713451671,21_40,high_fiber,0.0012341713451671,diaminopimelate epimerase,Lysine metabolism,dape | diaminopimelate epimerase | lysine metabolism,True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,PAPPT3,0.0012341713451671,21_40,high_fiber,0.0012341713451671,"phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",Cell wall biosynthesis,"pappt3 | phospho-n-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate) | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,UAAGDS,0.0012341713451671,21_40,high_fiber,0.0012341713451671,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",Cell wall biosynthesis,"uaagds | udp-n-acetylmuramoyl-l-alanyl-d-glutamyl-meso-2,6-diaminopimelate synthetase | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,BUTKr,0.0,21_40,high_fiber,0.0,"Butyrate kinase, reversible",Butanoate metabolism,"butkr | butyrate kinase, reversible | butanoate metabolism",True,False,True,lysine_to_butyrate_candidate
Bacteroides_xylanisolvens_XB1A_AGORA1_03,DAPDC,0.0,21_40,high_fiber,0.0,diaminopimelate decarboxylase,Lysine metabolism,dapdc | diaminopimelate decarboxylase | lysine metabolism,True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,DAPMDH,0.0,21_40,high_fiber,0.0,Meso-diaminopimelate D-dehydrogenase,Folate metabolism,dapmdh | meso-diaminopimelate d-dehydrogenase | folate metabolism,True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,LYSAM,0.0,21_40,high_fiber,0.0,"Lysine 2,3-aminomutase (EC 5.4.3.2)",Lysine metabolism,"lysam | lysine 2,3-aminomutase (ec 5.4.3.2) | lysine metabolism",True,False,True,lysine_to_butyrate_candidate
Bacteroides_xylanisolvens_XB1A_AGORA1_03,PBUTT,0.0,21_40,high_fiber,0.0,Phosphate butyryltransferase (EC 2.3.1.19),Butanoate metabolism,pbutt | phosphate butyryltransferase (ec 2.3.1.19) | butanoate metabolism,True,False,True,lysine_to_butyrate_candidate
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3ABUTCOAL,,21_40,high_fiber,,,,3abutcoal,True,False,True,lysine_to_butyrate_candidate
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACCOALYS2,,21_40,high_fiber,,,,accoalys2,True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,BTCOAACCOAT,,21_40,high_fiber,,,,btcoaaccoat,True,False,True,lysine_to_butyrate_candidate
Bacteroides_xylanisolvens_XB1A_AGORA1_03,BTCOADH,,21_40,high_fiber,,,,btcoadh,True,False,True,lysine_to_butyrate_candidate
Bacteroides_xylanisolvens_XB1A_AGORA1_03,DAPAT,,21_40,high_fiber,,,,dapat,True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,DAPDA,,21_40,high_fiber,,,,dapda,True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,SDPDS,,21_40,high_fiber,,,,sdpds,True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,SDPTA,,21_40,high_fiber,,,,sdpta,True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,DAPAT,14.73384596292741,21_40,high_fiber,14.73384596292741,Cadaverine aminotranferase,Lysine metabolism,dapat | cadaverine aminotranferase | lysine metabolism,True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,DAPE,0.013313180984355,21_40,high_fiber,0.013313180984355,diaminopimelate epimerase,Lysine metabolism,dape | diaminopimelate epimerase | lysine metabolism,True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,PAPPT3,0.013313180984355,21_40,high_fiber,0.013313180984355,"phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",Cell wall biosynthesis,"pappt3 | phospho-n-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate) | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,SDPDS,0.013313180984355,21_40,high_fiber,0.013313180984355,succinyl-diaminopimelate desuccinylase,Lysine metabolism,sdpds | succinyl-diaminopimelate desuccinylase | lysine metabolism,True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,SDPTA,-0.013313180984355,21_40,high_fiber,0.013313180984355,succinyldiaminopimelate transaminase,Lysine metabolism,sdpta | succinyldiaminopimelate transaminase | lysine metabolism,True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,UAAGDS,0.013313180984355,21_40,high_fiber,0.013313180984355,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",Cell wall biosynthesis,"uaagds | udp-n-acetylmuramoyl-l-alanyl-d-glutamyl-meso-2,6-diaminopimelate synthetase | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,DAPDC,0.0,21_40,high_fiber,0.0,diaminopimelate decarboxylase,Lysine metabolism,dapdc | diaminopimelate decarboxylase | lysine metabolism,True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,26DAPLLAT,,21_40,high_fiber,,,,26dapllat,True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,3ABUTCOAL,,21_40,high_fiber,,,,3abutcoal,True,False,True,lysine_to_butyrate_candidate
Escherichia_coli_UTI89_UPEC_AGORA1_03,ACCOALYS2,,21_40,high_fiber,,,,accoalys2,True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,BTCOAACCOAT,,21_40,high_fiber,,,,btcoaaccoat,True,False,True,lysine_to_butyrate_candidate
Escherichia_coli_UTI89_UPEC_AGORA1_03,BTCOADH,,21_40,high_fiber,,,,btcoadh,True,False,True,lysine_to_butyrate_candidate
Escherichia_coli_UTI89_UPEC_AGORA1_03,DAPDA,,21_40,high_fiber,,,,dapda,True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,DAPMDH,,21_40,high_fiber,,,,dapmdh,True,True,False,lysine_biosynthesis
Escherichia_coli_UTI89_UPEC_AGORA1_03,LYSAM,,21_40,high_fiber,,,,lysam,True,False,True,lysine_to_butyrate_candidate
Escherichia_coli_UTI89_UPEC_AGORA1_03,PBUTT,,21_40,high_fiber,,,,pbutt,True,False,True,lysine_to_butyrate_candidate
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,26DAPLLAT,-1000.0,21_40,high_fiber,1000.0,"L,L-diaminopimelate aminotransferase",Lysine metabolism,"26dapllat | l,l-diaminopimelate aminotransferase | lysine metabolism",True,True,False,lysine_biosynthesis
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,DAPE,1000.0,21_40,high_fiber,1000.0,diaminopimelate epimerase,Lysine metabolism,dape | diaminopimelate epimerase | lysine metabolism,True,True,False,lysine_biosynthesis
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,DAPMDH,999.9974546493274,21_40,high_fiber,999.9974546493274,Meso-diaminopimelate D-dehydrogenase,Folate metabolism,dapmdh | meso-diaminopimelate d-dehydrogenase | folate metabolism,True,True,False,lysine_biosynthesis
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,PAPPT3,0.002545350672586,21_40,high_fiber,0.002545350672586,"phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",Cell wall biosynthesis,"pappt3 | phospho-n-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate) | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,UAAGDS,0.0025453506725625,21_40,high_fiber,0.0025453506725625,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",Cell wall biosynthesis,"uaagds | udp-n-acetylmuramoyl-l-alanyl-d-glutamyl-meso-2,6-diaminopimelate synthetase | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,3ABUTCOAL,-0.0,21_40,high_fiber,0.0,3-aminobutyryl-CoA ammonia-lyase,Lysine metabolism,3abutcoal | 3-aminobutyryl-coa ammonia-lyase | lysine metabolism,True,False,True,lysine_to_butyrate_candidate
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ACCOALYS2,-0.0,21_40,high_fiber,0.0,Lysine biosynthesis AAA pathway 2/AcetylCoA to Lysine,Lysine metabolism,accoalys2 | lysine biosynthesis aaa pathway 2/acetylcoa to lysine | lysine metabolism,True,True,False,lysine_biosynthesis
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,BTCOAACCOAT,-0.0,21_40,high_fiber,0.0,Butyryl-CoA:acetate CoA-transferase,Butanoate metabolism,btcoaaccoat | butyryl-coa:acetate coa-transferase | butanoate metabolism,True,False,True,lysine_to_butyrate_candidate
