id,reaction_id,reaction_name,pathway
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3MOBS,3-methyl-2-oxobutanoate synthase,"Valine, leucine, and isoleucine metabolism"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAACPR1,3-ketoacyl-ACP-reductase (FabG),Biotin metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAACPR2,3-ketoacyl-ACP-reductase (FabG),Biotin metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR10M11,10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR10M12,10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR11M12,11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR12M13,12-methyl-3-oxo-tridecanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR12M14,12-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR13M14,13-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR14M15,14-methyl-3-oxo-pentadecanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR14M16,14-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR15M16,15-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR180,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR40,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR4M5,4-methyl-3-oxo-pentanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR4M6,4-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR5M6,5-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR60,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR6M7,6-methyl-3-oxo-heptanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR6M8,6-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR7M8,7-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR80,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR8M10,8-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR8M9,8-methyl-3-oxo-nonanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR9M10,9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS100,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS10M11,10-methyl-undecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS10M12,10-methyl-dodecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS11M12,11-methyl-dodecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS120,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS12M13,12-methyl-tridecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
