scenario,diet,exchange_id,flux,uptake_flux,secretion_flux,abs_flux,flux_equal,delta_flux_vs_equal,abs_delta_flux_vs_equal,log2_fc_abs_flux_vs_equal
sg90_age_60_plus,high_fiber,EX_ade(e),-1.0,1.0,0.0,1.0,0.0,-1.0,1.0,29.89735285542896
sg90_age_60_plus,high_fiber,EX_hxan(e),-1.0,1.0,0.0,1.0,0.0,-1.0,1.0,29.89735285542896
sg90_age_60_plus,high_fiber,EX_csn(e),0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-29.89735285542896
sg90_age_60_plus,high_fiber,EX_h2(e),0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-29.89735285542896
sg90_age_60_plus,high_fiber,EX_h2s(e),-0.0058194001537423,0.0058194001537423,0.0,0.0058194001537423,-1.0,0.9941805998462576,0.9941805998462576,-7.424913586060104
sg90_age_60_plus,high_fiber,EX_so4(e),-1.0,1.0,0.0,1.0,-0.0152038279860845,-0.9847961720139154,0.9847961720139154,6.039421488365794
sg90_age_60_plus,high_fiber,EX_3mop(e),-1.0,1.0,0.0,1.0,-0.0176396189900659,-0.982360381009934,0.982360381009934,5.825036709933818
sg90_age_60_plus,high_fiber,EX_pydx(e),-0.0258318920516064,0.0258318920516064,0.0,0.0258318920516064,-1.0,0.9741681079483936,0.9741681079483936,-5.274702818141294
sg90_age_60_plus,high_fiber,EX_gua(e),-0.1481438626183104,0.1481438626183104,0.0,0.1481438626183104,-1.0,0.8518561373816896,0.8518561373816896,-2.7549292277816693
sg90_age_60_plus,high_fiber,EX_phe_L(e),-0.591844305237983,0.591844305237983,0.0,0.591844305237983,0.0,-0.591844305237983,0.591844305237983,29.1406424617091
sg90_age_60_plus,high_fiber,EX_ddca(e),0.0,0.0,0.0,0.0,-0.5200512056573592,0.5200512056573592,0.5200512056573592,-28.954078443801563
sg90_age_60_plus,high_fiber,EX_amp(e),-0.9104234843991574,0.9104234843991574,0.0,0.9104234843991574,-0.5889300324842888,-0.3214934519148686,0.3214934519148686,0.6284415259901098
sg90_age_60_plus,high_fiber,EX_ocdca(e),0.0,0.0,0.0,0.0,-0.0846413,0.0846413,0.0846413,-26.334858467133976
sg90_age_60_plus,high_fiber,EX_2dmmq8(e),-0.694096680535981,0.694096680535981,0.0,0.694096680535981,-0.6540548949244914,-0.0400417856114895,0.0400417856114895,0.0857249028547721
sg90_age_60_plus,high_fiber,EX_pnto_R(e),-0.0400249837957285,0.0400249837957285,0.0,0.0400249837957285,0.0,-0.0400249837957285,0.0400249837957285,25.254397518917308
sg90_age_60_plus,high_fiber,EX_fol(e),-0.0174582004612269,0.0174582004612269,0.0,0.0174582004612269,-0.0456114839582538,0.0281532834970268,0.0281532834970268,-1.385492199708335
sg90_age_60_plus,high_fiber,EX_thymd(e),-0.0301030479069083,0.0301030479069083,0.0,0.0301030479069083,-0.0522928374267317,0.0221897895198234,0.0221897895198234,-0.7967037671104389
sg90_age_60_plus,high_fiber,EX_indole(e),-0.0994708430450814,0.0994708430450814,0.0,0.0994708430450814,-0.1183982449553224,0.018927401910241,0.018927401910241,-0.25130208432939
sg90_age_60_plus,high_fiber,EX_pheme(e),0.0,0.0,0.0,0.0,-0.0114394045278611,0.0114394045278611,0.0114394045278611,-23.44750874567304
sg90_age_60_plus,high_fiber,EX_pydxn(e),0.0,0.0,0.0,0.0,-0.0114394045278611,0.0114394045278611,0.0114394045278611,-23.44750874567304
sg90_age_60_plus,high_fiber,EX_q8(e),0.0,0.0,0.0,0.0,-0.0114394045278611,0.0114394045278611,0.0114394045278611,-23.44750874567304
sg90_age_60_plus,high_fiber,EX_sheme(e),0.0,0.0,0.0,0.0,-0.0114394045278611,0.0114394045278611,0.0114394045278611,-23.44750874567304
sg90_age_60_plus,high_fiber,EX_cobalt2(e),-0.0258318920516064,0.0258318920516064,0.0,0.0258318920516064,-0.0152038279860845,-0.0106280640655218,0.0106280640655218,0.7647186702245005
sg90_age_60_plus,high_fiber,EX_fe2(e),-0.0258318920516064,0.0258318920516064,0.0,0.0258318920516064,-0.0152038279860845,-0.0106280640655218,0.0106280640655218,0.7647186702245005
sg90_age_60_plus,high_fiber,EX_fe3(e),-0.0258318920516064,0.0258318920516064,0.0,0.0258318920516064,-0.0152038279860846,-0.0106280640655217,0.0106280640655217,0.764718670224491
sg90_age_60_plus,high_fiber,EX_ca2(e),-0.0258318920516064,0.0258318920516064,0.0,0.0258318920516064,-0.0152038279860846,-0.0106280640655217,0.0106280640655217,0.764718670224491
sg90_age_60_plus,high_fiber,EX_k(e),-0.0258318920516064,0.0258318920516064,0.0,0.0258318920516064,-0.0152038279860846,-0.0106280640655217,0.0106280640655217,0.764718670224491
sg90_age_60_plus,high_fiber,EX_mg2(e),-0.0258318920516064,0.0258318920516064,0.0,0.0258318920516064,-0.0152038279860846,-0.0106280640655217,0.0106280640655217,0.764718670224491
sg90_age_60_plus,high_fiber,EX_cl(e),-0.0258318920516064,0.0258318920516064,0.0,0.0258318920516064,-0.0152038279860846,-0.0106280640655217,0.0106280640655217,0.764718670224491
