scenario,diet,exchange_id,flux,uptake_flux,secretion_flux,abs_flux,flux_equal,delta_flux_vs_equal,abs_delta_flux_vs_equal,log2_fc_abs_flux_vs_equal
allcohort_agebin_41_60,high_fiber,EX_hxan(e),-1.0,1.0,0.0,1.0,0.0,-1.0,1.0,29.897352855428956
allcohort_agebin_41_60,high_fiber,EX_csn(e),0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-29.897352855428956
allcohort_agebin_41_60,high_fiber,EX_h2(e),0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-29.897352855428956
allcohort_agebin_41_60,high_fiber,EX_pi(e),0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-29.897352855428956
allcohort_agebin_41_60,high_fiber,EX_h2s(e),-0.0107326115247713,0.0107326115247713,0.0,0.0107326115247713,-1.0,0.9892673884752287,0.9892673884752287,-6.5418548925916165
allcohort_agebin_41_60,high_fiber,EX_3mop(e),-1.0,1.0,0.0,1.0,-0.0176396189900659,-0.9823603810099341,0.9823603810099341,5.825036709933818
allcohort_agebin_41_60,high_fiber,EX_ddca(e),0.0,0.0,0.0,0.0,-0.5200512056573592,0.5200512056573592,0.5200512056573592,-28.954078443801563
allcohort_agebin_41_60,high_fiber,EX_amp(e),-1.0,1.0,0.0,1.0,-0.5889300324842888,-0.41106996751571123,0.41106996751571123,0.7638318482522561
allcohort_agebin_41_60,high_fiber,EX_2dmmq8(e),-0.9782098806525258,0.9782098806525258,0.0,0.9782098806525258,-0.6540548949244914,-0.32415498572803436,0.32415498572803436,0.5807323099048239
allcohort_agebin_41_60,high_fiber,EX_indole(e),-0.0088229020756177,0.0088229020756177,0.0,0.0088229020756177,-0.1183982449553224,0.1095753428797047,0.1095753428797047,-3.7462504614370133
allcohort_agebin_41_60,high_fiber,EX_ocdca(e),0.0,0.0,0.0,0.0,-0.0846413,0.0846413,0.0846413,-26.334858467133976
allcohort_agebin_41_60,high_fiber,EX_phe_L(e),-0.0555696629485146,0.0555696629485146,0.0,0.0555696629485146,0.0,-0.0555696629485146,0.0555696629485146,25.727794179985317
allcohort_agebin_41_60,high_fiber,EX_thymd(e),-0.003615290378025,0.003615290378025,0.0,0.003615290378025,-0.0522928374267317,0.0486775470487067,0.0486775470487067,-3.8544295485846924
allcohort_agebin_41_60,high_fiber,EX_ttdca(e),0.0,0.0,0.0,0.0,-0.03433784,0.03433784,0.03433784,-25.03329599660597
allcohort_agebin_41_60,high_fiber,EX_nac(e),-0.0214652230495403,0.0214652230495403,0.0,0.0214652230495403,0.0,-0.0214652230495403,0.0214652230495403,24.355497895626378
allcohort_agebin_41_60,high_fiber,EX_fol(e),-0.0321978345743157,0.0321978345743157,0.0,0.0321978345743157,-0.0456114839582538,0.013413649383938096,0.013413649383938096,-0.5024334305799953
allcohort_agebin_41_60,high_fiber,EX_pheme(e),0.0,0.0,0.0,0.0,-0.0114394045278611,0.0114394045278611,0.0114394045278611,-23.447508745673037
allcohort_agebin_41_60,high_fiber,EX_q8(e),0.0,0.0,0.0,0.0,-0.0114394045278611,0.0114394045278611,0.0114394045278611,-23.447508745673037
allcohort_agebin_41_60,high_fiber,EX_sheme(e),0.0,0.0,0.0,0.0,-0.0114394045278611,0.0114394045278611,0.0114394045278611,-23.447508745673037
allcohort_agebin_41_60,high_fiber,EX_pydxn(e),-0.002403443319839,0.002403443319839,0.0,0.002403443319839,-0.0114394045278611,0.009035961208022102,0.009035961208022102,-2.250836795141678
allcohort_agebin_41_60,high_fiber,EX_pnto_R(e),-0.0048068866396778,0.0048068866396778,0.0,0.0048068866396778,0.0,-0.0048068866396778,0.0048068866396778,22.196671650400532
allcohort_agebin_41_60,high_fiber,EX_spmd(e),-0.0107326115247713,0.0107326115247713,0.0,0.0107326115247713,-0.0152038279860845,0.0044712164613131995,0.0044712164613131995,-0.5024334042258222
allcohort_agebin_41_60,high_fiber,EX_thm(e),-0.0107326115247713,0.0107326115247713,0.0,0.0107326115247713,-0.0152038279860845,0.0044712164613131995,0.0044712164613131995,-0.5024334042258222
allcohort_agebin_41_60,high_fiber,EX_cu2(e),-0.0131360548446103,0.0131360548446103,0.0,0.0131360548446103,-0.0152038279860846,0.002067773141474301,0.002067773141474301,-0.21090253735812428
allcohort_agebin_41_60,high_fiber,EX_k(e),-0.0131360548446103,0.0131360548446103,0.0,0.0131360548446103,-0.0152038279860846,0.002067773141474301,0.002067773141474301,-0.21090253735812428
allcohort_agebin_41_60,high_fiber,EX_ca2(e),-0.0131360548446103,0.0131360548446103,0.0,0.0131360548446103,-0.0152038279860846,0.002067773141474301,0.002067773141474301,-0.21090253735812428
allcohort_agebin_41_60,high_fiber,EX_cl(e),-0.0131360548446103,0.0131360548446103,0.0,0.0131360548446103,-0.0152038279860846,0.002067773141474301,0.002067773141474301,-0.21090253735812428
allcohort_agebin_41_60,high_fiber,EX_fe3(e),-0.0131360548446103,0.0131360548446103,0.0,0.0131360548446103,-0.0152038279860846,0.002067773141474301,0.002067773141474301,-0.21090253735812428
