sample_id,id,abundance,file,table2_taxon,profile_taxon,model_file,model_species_id
71_80,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.23708109885902418,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Faecalibacterium_prausnitzii_M21_2._AGORA1.03.xml,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Models/vmh_agora_sbml/Faecalibacterium_prausnitzii_M21_2._AGORA1.03.xml,Faecalibacterium_prausnitzii_M21_2__AGORA1_03
81_plus,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.035102429484575814,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Bacteroides_xylanisolvens_XB1A_AGORA1.03.xml,Bacteroides xylanisolvens,s__Bacteroides_xylanisolvens,Models/vmh_agora_sbml/Bacteroides_xylanisolvens_XB1A_AGORA1.03.xml,Bacteroides_xylanisolvens_XB1A_AGORA1_03
81_plus,Alistipes_shahii_WAL_8301_AGORA1_03,0.028243680082098092,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Alistipes_shahii_WAL_8301_AGORA1.03.xml,Alistipes shahii,s__Alistipes_shahii,Models/vmh_agora_sbml/Alistipes_shahii_WAL_8301_AGORA1.03.xml,Alistipes_shahii_WAL_8301_AGORA1_03
81_plus,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.031032718440148613,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1.03.xml,Klebsiella pneumoniae,s__Klebsiella_pneumoniae,Models/vmh_agora_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1.03.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03
81_plus,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.1365394735762943,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Parabacteroides_merdae_ATCC_43184_AGORA1.03.xml,Parabacteroides merdae,s__Parabacteroides_merdae,Models/vmh_agora_sbml/Parabacteroides_merdae_ATCC_43184_AGORA1.03.xml,Parabacteroides_merdae_ATCC_43184_AGORA1_03
81_plus,Bacteroides_dorei_DSM_17855_AGORA1_03,0.12980874517094598,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Bacteroides_dorei_DSM_17855_AGORA1.03.xml,Bacteroides dorei,s__Bacteroides_dorei,Models/vmh_agora_sbml/Bacteroides_dorei_DSM_17855_AGORA1.03.xml,Bacteroides_dorei_DSM_17855_AGORA1_03
81_plus,Alistipes_onderdonkii_DSM_19147_AGORA1_03,0.07483487469550079,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Alistipes_onderdonkii_DSM_19147_AGORA1.03.xml,Alistipes onderdonkii,s__Alistipes_onderdonkii,Models/vmh_agora_sbml/Alistipes_onderdonkii_DSM_19147_AGORA1.03.xml,Alistipes_onderdonkii_DSM_19147_AGORA1_03
81_plus,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.2925078243286016,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Escherichia_coli_UTI89_UPEC_AGORA1.03.xml,Escherichia coli,s__Escherichia_coli,Models/vmh_agora_sbml/Escherichia_coli_UTI89_UPEC_AGORA1.03.xml,Escherichia_coli_UTI89_UPEC_AGORA1_03
81_plus,Bilophila_wadsworthia_3_1_6_AGORA1_03,0.0,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Bilophila_wadsworthia_3_1_6_AGORA1.03.xml,Bilophila unclassified,s__Bilophila_wadsworthia,Models/vmh_agora_sbml/Bilophila_wadsworthia_3_1_6_AGORA1.03.xml,Bilophila_wadsworthia_3_1_6_AGORA1_03
81_plus,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0599625684405712,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Ruminococcus_torques_ATCC_27756_AGORA1.03.xml,Ruminococcus torques,s__Ruminococcus_torques,Models/vmh_agora_sbml/Ruminococcus_torques_ATCC_27756_AGORA1.03.xml,Ruminococcus_torques_ATCC_27756_AGORA1_03
81_plus,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.21196768578126368,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Faecalibacterium_prausnitzii_M21_2._AGORA1.03.xml,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Models/vmh_agora_sbml/Faecalibacterium_prausnitzii_M21_2._AGORA1.03.xml,Faecalibacterium_prausnitzii_M21_2__AGORA1_03
