scenario,diet,exchange_id,flux,uptake_flux,secretion_flux,abs_flux
allcohort_agebin_21_40,high_fiber,EX_xan(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,high_fiber,EX_glyc(e),-0.89982743,0.89982743,0.0,0.89982743
allcohort_agebin_21_40,high_fiber,EX_gly(e),-0.45,0.45,0.0,0.45
allcohort_agebin_21_40,high_fiber,EX_asn_L(e),-0.225,0.225,0.0,0.225
allcohort_agebin_21_40,high_fiber,EX_asp_L(e),-0.225,0.225,0.0,0.225
allcohort_agebin_21_40,high_fiber,EX_thr_L(e),-0.225,0.225,0.0,0.225
allcohort_agebin_21_40,high_fiber,EX_gln_L(e),-0.18,0.18,0.0,0.18
allcohort_agebin_21_40,high_fiber,EX_glu_L(e),-0.18,0.18,0.0,0.18
allcohort_agebin_21_40,high_fiber,EX_met_L(e),-0.18,0.18,0.0,0.18
allcohort_agebin_21_40,high_fiber,EX_pro_L(e),-0.18,0.18,0.0,0.18
allcohort_agebin_21_40,high_fiber,EX_val_L(e),-0.18,0.18,0.0,0.18
allcohort_agebin_21_40,high_fiber,EX_arg_L(e),-0.15,0.15,0.0,0.15
allcohort_agebin_21_40,high_fiber,EX_his_L(e),-0.15,0.15,0.0,0.15
allcohort_agebin_21_40,high_fiber,EX_ile_L(e),-0.15,0.15,0.0,0.15
allcohort_agebin_21_40,high_fiber,EX_leu_L(e),-0.15,0.15,0.0,0.15
allcohort_agebin_21_40,high_fiber,EX_lys_L(e),-0.15,0.15,0.0,0.15
allcohort_agebin_21_40,high_fiber,EX_raffin(e),-0.10416667,0.10416667,0.0,0.10416667
allcohort_agebin_21_40,high_fiber,EX_btn(e),-0.1,0.1,0.0,0.1
allcohort_agebin_21_40,high_fiber,EX_trp_L(e),-0.08181818,0.08181818,0.0,0.08181818
allcohort_agebin_21_40,high_fiber,EX_strch1(e),-0.06818182,0.06818182,0.0,0.06818182
allcohort_agebin_21_40,high_fiber,EX_kestopt(e),-0.0625,0.0625,0.0,0.0625
allcohort_agebin_21_40,high_fiber,EX_arab_L(e),-0.04736842,0.04736842,0.0,0.04736842
allcohort_agebin_21_40,high_fiber,EX_drib(e),-0.04736842,0.04736842,0.0,0.04736842
allcohort_agebin_21_40,high_fiber,EX_rib_D(e),-0.04736842,0.04736842,0.0,0.04736842
