scenario,diet,exchange_id,flux,uptake_flux,secretion_flux,abs_flux,flux_equal,delta_flux_vs_equal,abs_delta_flux_vs_equal,log2_fc_abs_flux_vs_equal
allcohort_agebin_21_40,high_fiber,EX_hxan(e),-1.0,1.0,0.0,1.0,0.0,-1.0,1.0,29.897352855428956
allcohort_agebin_21_40,high_fiber,EX_csn(e),0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-29.897352855428956
allcohort_agebin_21_40,high_fiber,EX_h2(e),0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-29.897352855428956
allcohort_agebin_21_40,high_fiber,EX_pi(e),0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-29.897352855428956
allcohort_agebin_21_40,high_fiber,EX_h2s(e),-0.0111782229038933,0.0111782229038933,0.0,0.0111782229038933,-1.0,0.9888217770961067,0.9888217770961067,-6.483165213107894
allcohort_agebin_21_40,high_fiber,EX_3mop(e),-1.0,1.0,0.0,1.0,-0.0176396189900659,-0.9823603810099341,0.9823603810099341,5.825036709933818
allcohort_agebin_21_40,high_fiber,EX_ddca(e),0.0,0.0,0.0,0.0,-0.5200512056573592,0.5200512056573592,0.5200512056573592,-28.954078443801563
allcohort_agebin_21_40,high_fiber,EX_amp(e),-1.0,1.0,0.0,1.0,-0.5889300324842888,-0.41106996751571123,0.41106996751571123,0.7638318482522561
allcohort_agebin_21_40,high_fiber,EX_2dmmq8(e),-1.0,1.0,0.0,1.0,-0.6540548949244914,-0.3459451050755086,0.3459451050755086,0.6125163677101829
allcohort_agebin_21_40,high_fiber,EX_indole(e),0.0,0.0,0.0,0.0,-0.1183982449553224,0.1183982449553224,0.1183982449553224,-26.819072467005775
allcohort_agebin_21_40,high_fiber,EX_ocdca(e),0.0,0.0,0.0,0.0,-0.0846413,0.0846413,0.0846413,-26.334858467133976
allcohort_agebin_21_40,high_fiber,EX_thymd(e),0.0,0.0,0.0,0.0,-0.0522928374267317,0.0522928374267317,0.0522928374267317,-25.64011004522113
allcohort_agebin_21_40,high_fiber,EX_ttdca(e),0.0,0.0,0.0,0.0,-0.03433784,0.03433784,0.03433784,-25.03329599660597
allcohort_agebin_21_40,high_fiber,EX_fol(e),-0.0335346687116846,0.0335346687116846,0.0,0.0335346687116846,-0.0456114839582538,0.0120768152465692,0.0120768152465692,-0.44374374752374107
allcohort_agebin_21_40,high_fiber,EX_pydxn(e),-2.5652687479411007e-33,2.5652687479411007e-33,0.0,2.5652687479411007e-33,-0.0114394045278611,0.0114394045278611,0.0114394045278611,-23.447508745673037
allcohort_agebin_21_40,high_fiber,EX_pheme(e),0.0,0.0,0.0,0.0,-0.0114394045278611,0.0114394045278611,0.0114394045278611,-23.447508745673037
allcohort_agebin_21_40,high_fiber,EX_q8(e),0.0,0.0,0.0,0.0,-0.0114394045278611,0.0114394045278611,0.0114394045278611,-23.447508745673037
