step,age_group,diet,species,pathway,reaction_id,reaction_name,flux,equation_in_flux_direction,incoming_from,shared_metabolites_from_previous
1,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK1,Adenylate Kinase,-1000.0,2 adp[c] -> amp[c] + atp[c],,
2,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK11,adenylate kinase (dUTP),1000.0,amp[c] + dutp[c] -> adp[c] + dudp[c],,
3,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK5,adenylate kinase (CTP),1000.0,amp[c] + ctp[c] -> adp[c] + cdp[c],,
4,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK7,adenylate kinase (dATP),-1000.0,adp[c] + dadp[c] -> amp[c] + datp[c],,
5,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK8,adenylate kinase (dCTP),-1000.0,adp[c] + dcdp[c] -> amp[c] + dctp[c],,
6,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK9,adenylate kinase (dGTP),1000.0,amp[c] + dgtp[c] -> adp[c] + dgdp[c],,
7,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,GK2,guanylate kinase (GMPdATP),1000.0,datp[c] + gmp[c] -> dadp[c] + gdp[c],,
8,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK1,Nucleoside-Diphosphate Kinase (ATP:GDP),1000.0,atp[c] + gdp[c] -> adp[c] + gtp[c],,
9,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK3,Nucleoside-Diphosphate Kinase (ATP:CDP),1000.0,atp[c] + cdp[c] -> adp[c] + ctp[c],,
10,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK5,Nucleoside-Diphosphate Kinase (ATP:dGDP),1000.0,atp[c] + dgdp[c] -> adp[c] + dgtp[c],,
11,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK6,Nucleoside-Diphosphate Kinase (ATP:dUDP),1000.0,atp[c] + dudp[c] -> adp[c] + dutp[c],,
12,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,UTPATPT,Uridine triphosphate:AMP phosphotransferase,-1000.0,adp[c] + udp[c] -> amp[c] + utp[c],,
13,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,GK1,Guanylate Kinase (GMP:ATP),-999.9700023862624,adp[c] + gdp[c] -> atp[c] + gmp[c],,
14,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK3,Adentylate Kinase (GTP),999.9419801822512,amp[c] + gtp[c] -> adp[c] + gdp[c],,
15,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK7,Nucleoside-Diphosphate Kinase (ATP:dCDP),-999.8332130199924,adp[c] + dctp[c] -> atp[c] + dcdp[c],,
16,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK2,Nucleoside-Diphosphate Kinase (ATP:UDP),-999.81124055426,adp[c] + utp[c] -> atp[c] + udp[c],,
17,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK4,Nucleoside-Diphosphate Kinase (ATP:dTDP),52.89140594520326,atp[c] + dtdp[c] -> adp[c] + dttp[c],,
18,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK10,adenylate kinase (dTTP),52.888925056494095,amp[c] + dttp[c] -> adp[c] + dtdp[c],,
19,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,GSNK,guanosine kinase,19.83351041024298,atp[c] + gsn[c] -> adp[c] + gmp[c] + h[c],,
20,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,GMPR,GMP Reductase,19.8035127965054,gmp[c] + 2 h[c] + nadph[c] -> imp[c] + nadp[c] + nh4[c],,
21,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,PUNP1,Purine-Nucleoside Phosphorylase (Adenosine),-15.174725838299477,ade[c] + r1p[c] -> adn[c] + pi[c],,
22,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,DADA,Deoxyadenosine Deaminase,4.658784571943521,dad_2[c] + h2o[c] + h[c] -> din[c] + nh4[c],,
23,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,UMPK,UMP Kinase,0.1770281115344215,atp[c] + ump[c] -> adp[c] + udp[c],,
24,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,CTPS1,CTP Synthase (NH3),0.1475023847403446,atp[c] + nh4[c] + utp[c] -> adp[c] + ctp[c] + 2 h[c] + pi[c],,
25,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,CYTK1,Cytidylate Kinase (CMP),0.1310260483220402,atp[c] + cmp[c] -> adp[c] + cdp[c],,
26,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,RNDR3,Ribonucleoside-Diphosphate Reductase (CDP),0.1310260483220402,cdp[c] + trdrd[c] -> dcdp[c] + h2o[c] + trdox[c],,
