step,age_group,diet,species,pathway,reaction_id,reaction_name,flux,equation_in_flux_direction,incoming_from,shared_metabolites_from_previous
1,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK1,Adenylate Kinase,-1000.0,2 adp[c] -> amp[c] + atp[c],,
2,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK10,adenylate kinase (dTTP),-1000.0,adp[c] + dtdp[c] -> amp[c] + dttp[c],,
3,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK11,adenylate kinase (dUTP),1000.0,amp[c] + dutp[c] -> adp[c] + dudp[c],,
4,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK5,adenylate kinase (CTP),-1000.0,adp[c] + cdp[c] -> amp[c] + ctp[c],,
5,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK9,adenylate kinase (dGTP),-1000.0,adp[c] + dgdp[c] -> amp[c] + dgtp[c],,
6,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,GK1,Guanylate Kinase (GMP:ATP),1000.0,atp[c] + gmp[c] -> adp[c] + gdp[c],,
7,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK1,Nucleoside-Diphosphate Kinase (ATP:GDP),1000.0,atp[c] + gdp[c] -> adp[c] + gtp[c],,
8,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK2,Nucleoside-Diphosphate Kinase (ATP:UDP),1000.0,atp[c] + udp[c] -> adp[c] + utp[c],,
9,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK6,Nucleoside-Diphosphate Kinase (ATP:dUDP),1000.0,atp[c] + dudp[c] -> adp[c] + dutp[c],,
10,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK7,Nucleoside-Diphosphate Kinase (ATP:dCDP),1000.0,atp[c] + dcdp[c] -> adp[c] + dctp[c],,
11,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK8,adenylate kinase (dCTP),999.9825674712162,amp[c] + dctp[c] -> adp[c] + dcdp[c],,
12,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK5,Nucleoside-Diphosphate Kinase (ATP:dGDP),-999.9825674712162,adp[c] + dgtp[c] -> atp[c] + dgdp[c],,
13,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK3,Adentylate Kinase (GTP),999.9419192212572,amp[c] + gtp[c] -> adp[c] + gdp[c],,
14,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,GK2,guanylate kinase (GMPdATP),-999.9419192212572,dadp[c] + gdp[c] -> datp[c] + gmp[c],,
15,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK4,Nucleoside-Diphosphate Kinase (ATP:dTDP),-999.9237283601652,adp[c] + dttp[c] -> atp[c] + dtdp[c],,
16,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,UTPATPT,Uridine triphosphate:AMP phosphotransferase,999.5809823469696,amp[c] + utp[c] -> adp[c] + udp[c],,
17,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK3,Nucleoside-Diphosphate Kinase (ATP:CDP),-998.9767848591906,adp[c] + ctp[c] -> atp[c] + cdp[c],,
18,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK8,Nucleoside-Diphosphate Kinase (ATP:dADP),-968.8748630354556,adp[c] + datp[c] -> atp[c] + dadp[c],,
19,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK7,adenylate kinase (dATP),32.24363823846966,amp[c] + datp[c] -> adp[c] + dadp[c],,
20,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,DURIPP,Deoxyuridine Phosphorylase,19.90268053027536,duri[c] + pi[c] -> 2dr1p[c] + ura[c],,
21,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADD,adenine deaminase,1.3248459984011651,ade[c] + h2o[c] + h[c] -> hxan[c] + nh4[c],,
22,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,RNTR1,ribonucleoside-triphosphate reductase (ATP),1.1901508131594918,atp[c] + trdrd[c] -> datp[c] + h2o[c] + trdox[c],,
23,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NTD6,5-Nucleotidase (dAMP),1.176582052668067,damp[c] + h2o[c] -> dad_2[c] + pi[c],,
24,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,r0345,ATP:AMP Phosphotransferase Ec:2.7.4.11,-1.176582052668067,adp[c] + dadp[c] -> atp[c] + damp[c],,
25,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,CYTK1,Cytidylate Kinase (CMP),1.023215140809368,atp[c] + cmp[c] -> adp[c] + cdp[c],,
26,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NTD7,5-Nucleotidase (AMP),0.1482639457330983,amp[c] + h2o[c] -> adn[c] + pi[c],,
27,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,PUNP1,Purine-Nucleoside Phosphorylase (Adenosine),0.1391038498505934,adn[c] + pi[c] -> ade[c] + r1p[c],,
28,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,UMPK,UMP Kinase,0.1335490916553681,atp[c] + ump[c] -> adp[c] + udp[c],,
29,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,GMPS2,GMP Synthase,0.0489206828602846,atp[c] + gln_L[c] + h2o[c] + xmp[c] -> amp[c] + glu_L[c] + gmp[c] + 2 h[c] + ppi[c],,
30,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,PUNP7,Purine-Nucleoside Phosphorylase (Xanthosine),0.0489206828602846,pi[c] + xtsn[c] -> r1p[c] + xan[c],,
31,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,r1384,Guanosine Aminohydrolase,0.0489206828602846,gsn[c] + h2o[c] + h[c] -> nh4[c] + xtsn[c],,
32,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADAD,deoxycytidine kinase,0.0310012892753093,atp[c] + dcyt[c] -> adp[c] + dcmp[c] + h[c],,
33,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,CTPS1,CTP Synthase (NH3),0.0301394693546053,atp[c] + nh4[c] + utp[c] -> adp[c] + ctp[c] + 2 h[c] + pi[c],,
34,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,CYTK2,Cytidylate Kinase (dCMP),0.0174325287838428,atp[c] + dcmp[c] -> adp[c] + dcdp[c],,
35,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,DGK1,Deoxyguanylate Kinase (dGMP:ATP),0.0174325287838428,atp[c] + dgmp[c] -> adp[c] + dgdp[c],,
36,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,r0456,ATP:Deoxyguanosine 5-Phosphotransferase,0.0174325287838428,atp[c] + dgsn[c] -> adp[c] + dgmp[c] + h[c],,
37,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,DTMPK,DTMP Kinase,0.0135687604914664,atp[c] + dtmp[c] -> adp[c] + dtdp[c],,
38,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,TMDSf2,"thymidylate synthase  (Flavin-dependent, NAD)",0.0135687604914664,dump[c] + fadh2[c] + mlthf[c] -> dtmp[c] + fad[c] + thf[c],,
39,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK2,adenylate kinase (Inorganic triphosphate),0.0091600958825049,amp[c] + pppi[c] -> adp[c] + ppi[c],,
40,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,BPNT,"3, 5-Bisphosphate Nucleotidase",0.0091600958825049,h2o[c] + pap[c] -> amp[c] + pi[c],,
