step,age_group,diet,species,pathway,reaction_id,reaction_name,flux,equation_in_flux_direction,incoming_from,shared_metabolites_from_previous
28,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADAD,deoxycytidine kinase,0.0537166243549336,atp[c] + dcyt[c] -> adp[c] + dcmp[c] + h[c],,
29,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,CTPS1,CTP Synthase (NH3),0.0522233297847561,atp[c] + nh4[c] + utp[c] -> adp[c] + ctp[c] + 2 h[c] + pi[c],,
30,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,CYTK2,Cytidylate Kinase (dCMP),0.0302057308623489,atp[c] + dcmp[c] -> adp[c] + dcdp[c],,
31,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,DGK1,Deoxyguanylate Kinase (dGMP:ATP),0.0302057308623489,atp[c] + dgmp[c] -> adp[c] + dgdp[c],,
32,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,PUNP7,Purine-Nucleoside Phosphorylase (Xanthosine),-0.0302057308623489,r1p[c] + xan[c] -> pi[c] + xtsn[c],,
33,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,r0456,ATP:Deoxyguanosine 5-Phosphotransferase,0.0302057308623489,atp[c] + dgsn[c] -> adp[c] + dgmp[c] + h[c],,
34,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,r1384,Guanosine Aminohydrolase,-0.0302057308623489,nh4[c] + xtsn[c] -> gsn[c] + h2o[c] + h[c],,
35,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,DTMPK,DTMP Kinase,0.0235108934925847,atp[c] + dtmp[c] -> adp[c] + dtdp[c],,
36,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,RNDR1,Ribonucleoside-Diphosphate Reductase (ADP),0.0235108934925847,adp[c] + trdrd[c] -> dadp[c] + h2o[c] + trdox[c],,
37,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,TMDSf2,"thymidylate synthase  (Flavin-dependent, NAD)",0.0235108934925847,dump[c] + fadh2[c] + mlthf[c] -> dtmp[c] + fad[c] + thf[c],,
38,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK2,adenylate kinase (Inorganic triphosphate),0.0158719021394973,amp[c] + pppi[c] -> adp[c] + ppi[c],,
39,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,BPNT,"3, 5-Bisphosphate Nucleotidase",0.0158719021394973,h2o[c] + pap[c] -> amp[c] + pi[c],,
