age_group,diet,species,pathway,pathway_abs_flux,species_internal_abs_flux_total,species_growth_rate,pathway_flux_share,biomass_association_score,top_reaction_id,top_reaction_name,top_reaction_abs_flux
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,18062.68625716643,50745.566761536444,2.0904670081734773,0.3559460936173322,0.744093565395261,ADK1,Adenylate Kinase,1000.0
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,"Valine, leucine, and isoleucine metabolism",6020.719031324936,50745.566761536444,2.0904670081734773,0.1186452219485004,0.2480239221607598,23DHMPO,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase",1000.0
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,"Glycine, serine, alanine, and threonine metabolism",4000.115125571934,50745.566761536444,2.0904670081734773,0.078826888353997,0.16478500946100483,GLYD,glycerate dehydrogenase,1000.0
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Glycolysis/gluconeogenesis,3655.579032413236,50745.566761536444,2.0904670081734773,0.0720374067274001,0.150591822118004,G6PI,alpha-D-Glucose 6-phosphate ketol-isomerase,1000.0
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Galactose metabolism,2999.354373688748,50745.566761536444,2.0904670081734773,0.05910574194162248,0.12355860352257715,GALT,Galactose-1-Phosphate Uridylyltransferase,1000.0
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Folate metabolism,2849.448508607447,50745.566761536444,2.0904670081734773,0.05615167374122699,0.11738322140975599,r0792,5-Methyltetrahydrofolate:NAD+ Oxidoreductase / Ec:1.5.1.20,1000.0
