age_group,diet,consumer_species,producer_species,shared_metabolite_id,shared_metabolite_name,consumer_uptake_flux,producer_secretion_flux,candidate_score,medium_available_flag,linked_pathway,anchor_rank,likely_origin
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,hxan(e),Hypoxanthine,2.4005612399067733,0.2421472481602791,0.2421472481602791,True,Nucleotide interconversion,1,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,ura(e),uracil,51.61124140732431,100.0,51.61124140732431,True,Nucleotide interconversion,2,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ura(e),uracil,51.61124140732431,22.173330075735297,22.173330075735297,True,Nucleotide interconversion,2,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03,ura(e),uracil,51.61124140732431,0.2669637225489367,0.2669637225489367,True,Nucleotide interconversion,2,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03,ura(e),uracil,51.61124140732431,0.1888853370695642,0.1888853370695642,True,Nucleotide interconversion,2,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,,rbflvrd(e),Reduced riboflavin,2.3588501150876655,0.0,0.0,False,Nucleotide interconversion,3,internal_only
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,glu_L(e),L-glutamate(1-),1.8069011656653533,100.0,1.8069011656653533,True,Nucleotide interconversion,4,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,glu_L(e),L-glutamate(1-),1.8069011656653533,100.0,1.8069011656653533,True,Nucleotide interconversion,4,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Ruminococcus_torques_ATCC_27756_AGORA1_03,glu_L(e),L-glutamate(1-),1.8069011656653533,85.5698710212193,1.8069011656653533,True,Nucleotide interconversion,4,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03,glu_L(e),L-glutamate(1-),1.8069011656653533,34.690205058819856,1.8069011656653533,True,Nucleotide interconversion,4,mixed_medium_plus_crossfeeding
