age_group,diet,species,pathway,metabolite_id,metabolite_name,layer_from,layer_to,species_from,species_to,reaction_id,reaction_name,flux,abs_flux,role
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,environment,organism_exchange,,Escherichia_coli_UTI89_UPEC_AGORA1_03,EX_adn(e),exchange reaction for Adenosine,15.180407739063996,15.180407739063996,environment_exchange
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,shared_metabolite,Parabacteroides_merdae_ATCC_43184_AGORA1_03,,EX_adn(e),exchange reaction for Adenosine,-100.0,100.0,organism_secretion
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,organism_exchange,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,,Cross-feeding candidate via Adenosine,15.180407739063996,15.180407739063996,crossfeeding_candidate
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,shared_metabolite,organism_exchange,,Escherichia_coli_UTI89_UPEC_AGORA1_03,EX_adn(e),exchange reaction for Adenosine,15.180407739063996,15.180407739063996,organism_uptake
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK1,Adenylate Kinase,-1000.0,1000.0,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK11,adenylate kinase (dUTP),1000.0,1000.0,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK7,adenylate kinase (dATP),1000.0,1000.0,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK8,adenylate kinase (dCTP),-1000.0,1000.0,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK9,adenylate kinase (dGTP),-1000.0,1000.0,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK1,Nucleoside-Diphosphate Kinase (ATP:GDP),1000.0,1000.0,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK3,Nucleoside-Diphosphate Kinase (ATP:CDP),1000.0,1000.0,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK6,Nucleoside-Diphosphate Kinase (ATP:dUDP),1000.0,1000.0,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK7,Nucleoside-Diphosphate Kinase (ATP:dCDP),-1000.0,1000.0,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK8,Nucleoside-Diphosphate Kinase (ATP:dADP),1000.0,1000.0,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,UTPATPT,Uridine triphosphate:AMP phosphotransferase,-1000.0,1000.0,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK5,Nucleoside-Diphosphate Kinase (ATP:dGDP),-999.9986888179712,999.9986888179712,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK3,Adentylate Kinase (GTP),999.9502613862956,999.9502613862956,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK2,Nucleoside-Diphosphate Kinase (ATP:UDP),-999.9370701829585,999.9370701829585,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK5,adenylate kinase (CTP),999.8847143396442,999.8847143396442,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK4,Nucleoside-Diphosphate Kinase (ATP:dTDP),30.21512122008983,30.21512122008983,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK10,adenylate kinase (dTTP),30.212938364873253,30.212938364873253,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,PUNP1,Purine-Nucleoside Phosphorylase (Adenosine),-19.833510410242997,19.833510410242997,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,GSNK,guanosine kinase,19.83351041024298,19.83351041024298,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,GMPR,GMP Reductase,19.807116462221984,19.807116462221984,internal_processing
61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,CYTK1,Cytidylate Kinase (CMP),0.1152856603556869,0.1152856603556869,internal_processing
