age_group,diet,species,shared_metabolite_id,shared_metabolite_name,reaction_id,reaction_name,flux,abs_flux,direction,medium_available_flag,exchange_class,rank_within_species
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,cholate(e),Cholate,BIACt1,"Bile acid transport, cholate",-998.476562745848,998.476562745848,internal,False,transport_only,1
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,h(e),proton,BIACt4,"Bile acid transport, 7-Dehydrocholate",998.476562745848,998.476562745848,internal,False,transport_only,2
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,h(e),proton,BIACt1,"Bile acid transport, cholate",-998.476562745848,998.476562745848,internal,False,transport_only,3
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,7ocholate(e),"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate",BIACt4,"Bile acid transport, 7-Dehydrocholate",998.476562745848,998.476562745848,internal,False,transport_only,4
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,h(e),proton,ACt2r,Acetate Reversible Transport via Proton Symport,-125.65599882445282,125.65599882445282,internal,False,transport_only,5
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,ac(e),acetate,EX_ac(e),Acetate exchange,125.65599882445282,125.65599882445282,uptake,True,diet_uptake,6
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,ac(e),acetate,ACt2r,Acetate Reversible Transport via Proton Symport,-125.65599882445282,125.65599882445282,internal,False,transport_only,7
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,h2o(e),Water,H2Ot,H2O Transport via Diffusion,105.48221846430928,105.48221846430928,internal,False,transport_only,8
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,acald(e),acetaldehyde,ACALDt,Acetaldehyde Reversible Transport,100.0,100.0,internal,False,transport_only,9
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,asp_L(e),L-aspartate(1-),ASPt2,L-aspartate transport in via proton symport,100.0,100.0,internal,False,transport_only,10
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,h(e),proton,ASPt2,L-aspartate transport in via proton symport,100.0,100.0,internal,False,transport_only,11
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,acald(e),acetaldehyde,EX_acald(e),Acetaldehyde exchange,-100.0,100.0,secretion,False,transport_only,12
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,asp_L(e),L-aspartate(1-),EX_asp_L(e),L-Aspartate exchange,-100.0,100.0,secretion,True,diet_secretion,13
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,h2o(e),Water,EX_h2o(e),H2O exchange,-100.0,100.0,secretion,True,diet_secretion,14
71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,lac_D(e),(R)-lactate,EX_lac_D(e),D-lactate exchange,58.266880849239726,58.266880849239726,uptake,False,transport_only,15
