diet,metabolite_id,metabolite_name,layer_from,layer_to,species_from,species_to,reaction_id,reaction_name,pathway,flux,abs_flux,role
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,NDPK4,Nucleoside-Diphosphate Kinase (ATP:dTDP),Nucleotide interconversion,0.1446910117029478,0.1446910117029478,internal_processing
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,DADNt2r,deoxyadenosine transport in via proton symport reversible,"Transport, extracellular",0.1183617250664031,0.1183617250664031,internal_processing
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,PUNP2,Purine-Nucleoside Phosphorylase (Deoxyadenosine),Purine catabolism,0.0660688876396752,0.0660688876396752,internal_processing
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,PUNP4,Purine-Nucleoside Phosphorylase (Deoxyguanosine),Purine catabolism,-0.0660688876396752,0.0660688876396752,internal_processing
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,ADK9,adenylate kinase (dGTP),Nucleotide interconversion,-0.0660688876396752,0.0660688876396752,internal_processing
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,NDPK7,Nucleoside-Diphosphate Kinase (ATP:dCDP),Nucleotide interconversion,0.0660688876396752,0.0660688876396752,internal_processing
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,DADNK,Deoxyadenosine Kinase,Nucleotide interconversion,0.0522928374267279,0.0522928374267279,internal_processing
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,NNATr,Nicotinate-Nucleotide Adenylyltransferase,NAD metabolism,0.0228788090557415,0.0228788090557415,internal_processing
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,PTPAT,Phosphopantetheine Adenylyltransferase (Ec 2.7.7.3),CoA synthesis,0.0228788090557206,0.0228788090557206,internal_processing
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,CBIAT,Cobinamide adenyltransferase,Vitamin B12 metabolism,0.0114394045278603,0.0114394045278603,internal_processing
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,FMNAT,FMN Adenylyltransferase,Vitamin B2 metabolism,0.0114394045278603,0.0114394045278603,internal_processing
high_fiber,adn[e],Adenosine,species_connector,species_internal,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,ADK2,adenylate kinase (Inorganic triphosphate),Nucleotide interconversion,0.0114394045278603,0.0114394045278603,internal_processing
high_fiber,adn[e],Adenosine,species_internal,biomass_context,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,,Biomass-adjacent pathway summary for Nucleotide interconversion,Nucleotide interconversion,0.33756316020471,0.33756316020471,biomass_adjacent
