diet,shared_metabolite_id,shared_metabolite_name,producer_species,consumer_species,producer_flux,consumer_flux,candidate_score,crossfeeding_candidate,involves_focus_species
western,thr_L[e],L-threonine,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.5363169587794038,0.1124992777107942,0.1124992777107942,True,True
western,cys_L[e],L-cysteine,Alistipes_shahii_WAL_8301_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,1.3239036571064997,0.043854125953868,0.043854125953868,True,True
western,trp_L[e],L-tryptophan,Escherichia_coli_UTI89_UPEC_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.125373129831231,0.0328128914479096,0.0328128914479096,True,True
western,galur[e],D-Galacturonate,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.0130220999999999,0.0130220999999999,0.0130220999999999,True,True
western,succ[e],Succinate,Bacteroides_dorei_DSM_17855_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,10.585016326663531,0.0070814815090807,0.0070814815090807,True,True
western,succ[e],Succinate,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,3.1205983651590965,0.0070814815090807,0.0070814815090807,True,True
western,succ[e],Succinate,Bilophila_wadsworthia_3_1_6_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.9331410843662672,0.0070814815090807,0.0070814815090807,True,True
western,succ[e],Succinate,Alistipes_shahii_WAL_8301_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.6280887465362767,0.0070814815090807,0.0070814815090807,True,True
western,succ[e],Succinate,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.5363169587794037,0.0070814815090807,0.0070814815090807,True,True
western,ptrc[e],Putrescine,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,1.2589074962254465,0.004780617187114,0.004780617187114,True,True
