diet,species,shared_metabolite_id,shared_metabolite_name,uptake_from_shared_flux,top_producer_species,top_producer_flux,crossfeeding_support_score,linked_pathway,pathway_abs_flux,pathway_flux_share,biomass_association_score,link_evidence
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ala_L[e],L-alanine,0.291599765580796,Alistipes_shahii_WAL_8301_AGORA1_03,84.60205442219183,0.291599765580796,Pyruvate metabolism,31.89825666248171,0.0835424230309589,0.1006043914492881,metabolite_name_keyword + pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ala_L[e],L-alanine,0.291599765580796,Alistipes_shahii_WAL_8301_AGORA1_03,84.60205442219183,0.291599765580796,Pentose phosphate pathway,22.322398033187444,0.0584629824534399,0.0704029468939287,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ala_L[e],L-alanine,0.291599765580796,Alistipes_shahii_WAL_8301_AGORA1_03,84.60205442219183,0.291599765580796,Nucleotide interconversion,16.57498469139675,0.0434103467619601,0.052276093512049,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,gam[e],D-Glucosamine,1.0,,0.0,0.0,Glycolysis/gluconeogenesis,54.135705946855914,0.1417829223441946,0.1707394172066744,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,gam[e],D-Glucosamine,1.0,,0.0,0.0,Pyruvate metabolism,31.89825666248171,0.0835424230309589,0.1006043914492881,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,gam[e],D-Glucosamine,1.0,,0.0,0.0,Pentose phosphate pathway,22.322398033187444,0.0584629824534399,0.0704029468939287,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,gam[e],D-Glucosamine,1.0,,0.0,0.0,Nucleotide interconversion,16.57498469139675,0.0434103467619601,0.052276093512049,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,gthox[e],Oxidized glutathione,0.9942802977360712,,0.0,0.0,Glycolysis/gluconeogenesis,54.135705946855914,0.1417829223441946,0.1707394172066744,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,gthox[e],Oxidized glutathione,0.9942802977360712,,0.0,0.0,Pyruvate metabolism,31.89825666248171,0.0835424230309589,0.1006043914492881,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,gthox[e],Oxidized glutathione,0.9942802977360712,,0.0,0.0,Pentose phosphate pathway,22.322398033187444,0.0584629824534399,0.0704029468939287,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,gthox[e],Oxidized glutathione,0.9942802977360712,,0.0,0.0,Nucleotide interconversion,16.57498469139675,0.0434103467619601,0.052276093512049,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ribflv[e],Riboflavin,0.9771211909442836,,0.0,0.0,Glycolysis/gluconeogenesis,54.135705946855914,0.1417829223441946,0.1707394172066744,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ribflv[e],Riboflavin,0.9771211909442836,,0.0,0.0,Pyruvate metabolism,31.89825666248171,0.0835424230309589,0.1006043914492881,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ribflv[e],Riboflavin,0.9771211909442836,,0.0,0.0,Pentose phosphate pathway,22.322398033187444,0.0584629824534399,0.0704029468939287,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ribflv[e],Riboflavin,0.9771211909442836,,0.0,0.0,Nucleotide interconversion,16.57498469139675,0.0434103467619601,0.052276093512049,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,amp[e],AMP,0.7479097573763711,,0.0,0.0,Glycolysis/gluconeogenesis,54.135705946855914,0.1417829223441946,0.1707394172066744,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,amp[e],AMP,0.7479097573763711,,0.0,0.0,Pyruvate metabolism,31.89825666248171,0.0835424230309589,0.1006043914492881,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,amp[e],AMP,0.7479097573763711,,0.0,0.0,Pentose phosphate pathway,22.322398033187444,0.0584629824534399,0.0704029468939287,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,amp[e],AMP,0.7479097573763711,,0.0,0.0,Nucleotide interconversion,16.57498469139675,0.0434103467619601,0.052276093512049,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,glyc[e],Glycerol,0.3719413539633185,,0.0,0.0,Glycolysis/gluconeogenesis,54.135705946855914,0.1417829223441946,0.1707394172066744,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,glyc[e],Glycerol,0.3719413539633185,,0.0,0.0,Pyruvate metabolism,31.89825666248171,0.0835424230309589,0.1006043914492881,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,glyc[e],Glycerol,0.3719413539633185,,0.0,0.0,Pentose phosphate pathway,22.322398033187444,0.0584629824534399,0.0704029468939287,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,glyc[e],Glycerol,0.3719413539633185,,0.0,0.0,Nucleotide interconversion,16.57498469139675,0.0434103467619601,0.052276093512049,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,strch1[e],"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",0.25733909,,0.0,0.0,Glycolysis/gluconeogenesis,54.135705946855914,0.1417829223441946,0.1707394172066744,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,strch1[e],"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",0.25733909,,0.0,0.0,Pyruvate metabolism,31.89825666248171,0.0835424230309589,0.1006043914492881,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,strch1[e],"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",0.25733909,,0.0,0.0,Pentose phosphate pathway,22.322398033187444,0.0584629824534399,0.0704029468939287,pathway_reaction_keyword
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,strch1[e],"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",0.25733909,,0.0,0.0,Nucleotide interconversion,16.57498469139675,0.0434103467619601,0.052276093512049,pathway_reaction_keyword
