uptake_scale,age_group,diet,id,growth_rate,grows_in_diet
scaled10x,21_40,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,7.0773627025694905,True
scaled10x,21_40,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,1.17082490708586,True
scaled10x,21_40,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.8715018634511493,True
scaled10x,21_40,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.7880069661612017,True
scaled10x,21_40,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,0.28604300760129164,True
scaled10x,21_40,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.25231408598163835,True
scaled10x,21_40,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.07364700454001623,True
scaled10x,21_40,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,7.966756298192703,True
scaled10x,21_40,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,1.3259099045561171,True
scaled10x,21_40,western,Bacteroides_dorei_DSM_17855_AGORA1_03,1.0026743598194154,True
scaled10x,21_40,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.9102171317928254,True
scaled10x,21_40,western,Alistipes_shahii_WAL_8301_AGORA1_03,0.3300799676502001,True
scaled10x,21_40,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.29236102349971077,True
scaled10x,21_40,western,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.08427158070550451,True
scaled10x,41_60,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,8.94964608607001,True
scaled10x,41_60,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,2.2749128225154114,True
scaled10x,41_60,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,2.1895668434630022,True
scaled10x,41_60,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.7478201866359215,True
scaled10x,41_60,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.5374769227376434,True
scaled10x,41_60,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,10.341734250745882,True
scaled10x,41_60,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,2.5766896509238166,True
scaled10x,41_60,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,2.506208636454308,True
scaled10x,41_60,western,Bacteroides_dorei_DSM_17855_AGORA1_03,0.8466719807047444,True
scaled10x,41_60,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.6072304999675416,True
scaled10x,61_70,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,5.8646415437906585,True
scaled10x,61_70,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.7233697609245845,True
scaled10x,61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.40883212940783714,True
scaled10x,61_70,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.26351460638519797,True
scaled10x,61_70,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.14008199307520688,True
scaled10x,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,6.835971429683017,True
scaled10x,61_70,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.8260788609874264,True
scaled10x,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.46457698980510037,True
scaled10x,61_70,western,Bacteroides_dorei_DSM_17855_AGORA1_03,0.30054872742977407,True
scaled10x,61_70,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.1587922451273953,True
scaled10x,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,10.28885716932219,True
scaled10x,71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,5.435114603478163,True
scaled10x,71_80,high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,3.16586210441559,True
scaled10x,71_80,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,2.5747366849960023,True
scaled10x,71_80,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.9956467167938817,True
scaled10x,71_80,high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.310149645062362,True
scaled10x,71_80,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.1567475377125277,True
scaled10x,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,11.714649539368986,True
scaled10x,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,6.1882938700212495,True
scaled10x,71_80,western,Alistipes_onderdonkii_DSM_19147_AGORA1_03,3.6045754890064896,True
scaled10x,71_80,western,Bacteroides_dorei_DSM_17855_AGORA1_03,2.931534291333015,True
scaled10x,71_80,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,1.1336145365180867,True
scaled10x,71_80,western,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.35088324361369616,True
scaled10x,71_80,western,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.17847450093198086,True
scaled10x,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,13.833097228071583,True
scaled10x,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,10.000919904683464,True
scaled10x,81_plus,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,6.458871378913137,True
scaled10x,81_plus,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,6.139622136737181,True
scaled10x,81_plus,high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,3.540157835529813,True
scaled10x,81_plus,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,2.836311566752757,True
scaled10x,81_plus,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,1.6605405802651472,True
scaled10x,81_plus,high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,1.4680608307106804,True
scaled10x,81_plus,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,1.3360799262246916,True
scaled10x,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,15.052783733772161,True
scaled10x,81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,10.900456597272315,True
scaled10x,81_plus,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,7.026831631217828,True
scaled10x,81_plus,western,Bacteroides_dorei_DSM_17855_AGORA1_03,6.6803256209728925,True
scaled10x,81_plus,western,Alistipes_onderdonkii_DSM_19147_AGORA1_03,3.8512581423014085,True
scaled10x,81_plus,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,3.085911054660909,True
scaled10x,81_plus,western,Bacteroides_xylanisolvens_XB1A_AGORA1_03,1.8063781914705472,True
scaled10x,81_plus,western,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,1.596991004705883,True
scaled10x,81_plus,western,Alistipes_shahii_WAL_8301_AGORA1_03,1.4535415623902075,True
scaled5x,21_40,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,5.0527353070478025,True
scaled5x,21_40,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.6944167952489886,True
scaled5x,21_40,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.4804939573050752,True
scaled5x,21_40,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.4436628576295561,True
scaled5x,21_40,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,0.15505100483608544,True
scaled5x,21_40,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.13887104942079057,True
scaled5x,21_40,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.040420756223587456,True
scaled5x,21_40,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,5.637951917720416,True
scaled5x,21_40,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.9970435304889267,True
scaled5x,21_40,western,Bacteroides_dorei_DSM_17855_AGORA1_03,0.6829028301094534,True
scaled5x,21_40,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.6299847350160157,True
scaled5x,21_40,western,Alistipes_shahii_WAL_8301_AGORA1_03,0.2243932258426009,True
scaled5x,21_40,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.19776983430346787,True
scaled5x,21_40,western,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.05708061303570409,True
scaled5x,41_60,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,5.482937897261732,True
scaled5x,41_60,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,1.5454339447292735,True
scaled5x,41_60,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,1.5444335543958208,True
scaled5x,41_60,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.5059600370671897,True
scaled5x,41_60,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.3644027953529056,True
scaled5x,41_60,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,6.250236344853161,True
scaled5x,41_60,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,1.5769834637789903,True
scaled5x,41_60,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,1.570566974388646,True
scaled5x,41_60,western,Bacteroides_dorei_DSM_17855_AGORA1_03,0.5187628412279883,True
scaled5x,41_60,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.37028526763224906,True
scaled5x,61_70,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,4.141433427916877,True
scaled5x,61_70,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.5784498235242344,True
scaled5x,61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.32872069778069657,True
scaled5x,61_70,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.20867421166315062,True
scaled5x,61_70,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.11293728665896567,True
scaled5x,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,4.866196894870543,True
scaled5x,61_70,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.665801547668525,True
scaled5x,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.3775668464658009,True
scaled5x,61_70,western,Bacteroides_dorei_DSM_17855_AGORA1_03,0.24023148616586049,True
scaled5x,61_70,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.12868506607336427,True
scaled5x,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,6.095984523534941,True
scaled5x,71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,3.2202568699912395,True
scaled5x,71_80,high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,1.875723020958868,True
scaled5x,71_80,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,1.5254915379322154,True
scaled5x,71_80,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.5899092935042822,True
scaled5x,71_80,high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.18259064790917032,True
scaled5x,71_80,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.09288051082443433,True
scaled5x,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,6.931617052669845,True
scaled5x,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,3.661644774759122,True
scaled5x,71_80,western,Alistipes_onderdonkii_DSM_19147_AGORA1_03,2.132845409835921,True
scaled5x,71_80,western,Bacteroides_dorei_DSM_17855_AGORA1_03,1.7346036161373921,True
scaled5x,71_80,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.6707655151814473,True
scaled5x,71_80,western,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.21058958855583987,True
scaled5x,71_80,western,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.10560717062163179,True
scaled5x,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,8.321736664068501,True
scaled5x,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,6.030409831878143,True
scaled5x,81_plus,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,3.8844985787797266,True
scaled5x,81_plus,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,3.6930105413227556,True
scaled5x,81_plus,high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,2.1290237146084023,True
scaled5x,81_plus,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,1.705912275025528,True
scaled5x,81_plus,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.9986626358621271,True
scaled5x,81_plus,high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.8828689153604512,True
scaled5x,81_plus,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,0.8035219741864754,True
scaled5x,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,9.006968597124379,True
scaled5x,81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,6.526525558052513,True
scaled5x,81_plus,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,4.204374146980289,True
